23:16:27.242143 config: drop-rate=0.00, max-delay=0s, seed=1552533387237143300
01:22:32.878658 [queue=0] packet #0, 192.168.0.129:57230 -> 192.168.0.129:8080, sz=20 is delivered
01:22:37.878974 [queue=0] packet #0, 192.168.0.129:57230 -> 192.168.0.129:8080, sz=20 is delivered
01:22:42.879406 [queue=0] packet #0, 192.168.0.129:57230 -> 192.168.0.129:8080, sz=20 is delivered
01:22:47.880149 [queue=0] packet #0, 192.168.0.129:57230 -> 192.168.0.129:8080, sz=20 is delivered
01:22:52.880018 [queue=0] packet #0, 192.168.0.129:57230 -> 192.168.0.129:8080, sz=20 is delivered
01:22:57.880145 [queue=0] packet #0, 192.168.0.129:57230 -> 192.168.0.129:8080, sz=20 is delivered
01:23:02.881082 [queue=0] packet #0, 192.168.0.129:57230 -> 192.168.0.129:8080, sz=20 is delivered
01:23:07.881449 [queue=0] packet #0, 192.168.0.129:57230 -> 192.168.0.129:8080, sz=20 is delivered
01:23:12.881869 [queue=0] packet #0, 192.168.0.129:57230 -> 192.168.0.129:8080, sz=20 is delivered
01:23:17.883448 [queue=0] packet #0, 192.168.0.129:57230 -> 192.168.0.129:8080, sz=20 is delivered
01:23:22.883206 [queue=0] packet #0, 192.168.0.129:57230 -> 192.168.0.129:8080, sz=20 is delivered
01:23:27.883599 [queue=0] packet #0, 192.168.0.129:57230 -> 192.168.0.129:8080, sz=20 is delivered
01:23:32.885385 [queue=0] packet #0, 192.168.0.129:57230 -> 192.168.0.129:8080, sz=20 is delivered
01:23:37.885086 [queue=0] packet #0, 192.168.0.129:57230 -> 192.168.0.129:8080, sz=20 is delivered
01:23:42.886577 [queue=0] packet #0, 192.168.0.129:57230 -> 192.168.0.129:8080, sz=20 is delivered
01:23:47.886655 [queue=0] packet #0, 192.168.0.129:57230 -> 192.168.0.129:8080, sz=20 is delivered
01:23:52.886163 [queue=0] packet #0, 192.168.0.129:57230 -> 192.168.0.129:8080, sz=20 is delivered
01:23:57.886538 [queue=0] packet #0, 192.168.0.129:57230 -> 192.168.0.129:8080, sz=20 is delivered
01:24:02.887601 [queue=0] packet #0, 192.168.0.129:57230 -> 192.168.0.129:8080, sz=20 is delivered
01:24:07.887137 [queue=0] packet #0, 192.168.0.129:57230 -> 192.168.0.129:8080, sz=20 is delivered
01:24:12.887969 [queue=0] packet #0, 192.168.0.129:57230 -> 192.168.0.129:8080, sz=20 is delivered
